table_name,column_name,data_type,is_nullable
checklist_items,id,uuid,NO
checklist_items,checklist_id,uuid,YES
checklist_items,title,character varying,NO
checklist_items,description,text,YES
checklist_items,completed,boolean,YES
checklist_items,completed_by,uuid,YES
checklist_items,completed_at,timestamp with time zone,YES
checklist_items,created_at,timestamp with time zone,YES
checklist_items,updated_at,timestamp with time zone,YES
checklist_items,created_by,uuid,YES
checklist_items,project_id,uuid,YES
checklists,id,uuid,NO
checklists,project_id,uuid,YES
checklists,name,character varying,NO
checklists,description,text,YES
checklists,created_by,uuid,YES
checklists,created_at,timestamp with time zone,YES
checklists,updated_at,timestamp with time zone,YES
group_memberships,id,uuid,NO
group_memberships,group_id,uuid,YES
group_memberships,user_id,uuid,YES
group_memberships,role,character varying,YES
group_memberships,joined_at,timestamp with time zone,YES
groups,id,uuid,NO
groups,name,character varying,NO
groups,description,text,YES
groups,created_by,uuid,YES
groups,created_at,timestamp with time zone,YES
groups,updated_at,timestamp with time zone,YES
project_assignments,id,uuid,NO
project_assignments,project_id,uuid,YES
project_assignments,user_id,uuid,YES
project_assignments,assigned_at,timestamp with time zone,YES
project_files,id,uuid,NO
project_files,project_id,uuid,YES
project_files,uploaded_by,uuid,YES
project_files,filename,character varying,NO
project_files,original_name,character varying,NO
project_files,file_size,bigint,YES
project_files,mime_type,character varying,YES
project_files,file_path,character varying,YES
project_files,uploaded_at,timestamp with time zone,YES
project_files,public_url,text,YES
project_files,storage_path,text,YES
projects,id,uuid,NO
projects,name,character varying,NO
projects,description,text,YES
projects,group_id,uuid,YES
projects,created_by,uuid,YES
projects,status,character varying,YES
projects,created_at,timestamp with time zone,YES
projects,updated_at,timestamp with time zone,YES
projects,priority,character varying,YES
projects,notes,text,YES
projects,file_folder_path,character varying,YES
research_group_members,id,uuid,NO
research_group_members,research_group_id,uuid,NO
research_group_members,user_id,uuid,NO
research_group_members,role,character varying,NO
research_group_members,joined_at,timestamp with time zone,YES
research_groups,id,uuid,NO
research_groups,name,character varying,NO
research_groups,description,text,YES
research_groups,owner_id,uuid,NO
research_groups,created_at,timestamp with time zone,YES
research_groups,updated_at,timestamp with time zone,YES
users,id,uuid,NO
users,username,character varying,NO
users,email,character varying,NO
users,password_hash,character varying,NO
users,bio,text,YES
users,profile_picture,character varying,YES
users,created_at,timestamp with time zone,YES
users,updated_at,timestamp with time zone,YES